curriculum,run_seed,trained_steps,checkpoint_kind,group,mean_return,mean_success,mean_length
param,9,325000,mid,generalization_combined,173.26541240860212,0.9249999999999999,369.425
param,9,350000,mid,generalization_combined,174.15665179929283,0.9750000000000001,261.725
param,9,450000,mid,generalization_combined,210.63773639063322,0.9083333333333333,311.6666666666667
param,9,500000,final,generalization_combined,202.36872022349195,0.9416666666666667,272.5916666666667
baseline,0,100000,mid,training_like,160.34093542925615,0.7999999999999999,571.275
baseline,0,200000,mid,training_like,233.05376537028846,1.0,237.325
baseline,0,300000,mid,training_like,223.22790513151273,0.9624999999999999,203.85
baseline,0,400000,mid,training_like,230.2555577845627,0.9875,183.9125
baseline,0,500000,final,training_like,220.2138964510083,0.9875,192.2125
baseline,1,100000,mid,training_like,61.15760737641053,0.575,778.7
baseline,1,200000,mid,training_like,226.80283594302313,0.925,280.2
baseline,1,300000,mid,training_like,246.75624468559556,0.975,237.75
baseline,1,400000,mid,training_like,233.52867396843942,0.95,240.3875
baseline,1,500000,final,training_like,240.3324134284749,0.9875,196.0125
baseline,2,100000,mid,training_like,164.04385855231249,0.825,500.61249999999995
baseline,2,200000,mid,training_like,209.72798598563836,0.8999999999999999,376.5125
baseline,2,300000,mid,training_like,233.93420692771087,0.85,320.86249999999995
baseline,2,400000,mid,training_like,250.34378960709353,0.9125,260.1875
baseline,2,500000,final,training_like,242.85823244920084,0.9625,254.1375
baseline,3,100000,mid,training_like,59.464656975862525,0.7999999999999999,666.1125
baseline,3,200000,mid,training_like,212.78993283089576,0.9125000000000001,451.59999999999997
baseline,3,300000,mid,training_like,212.7777529254052,0.9125000000000001,369.32499999999993
baseline,3,400000,mid,training_like,235.8341075284863,0.9125000000000001,297.29999999999995
baseline,3,500000,final,training_like,248.5022775021143,0.9625,276.5625
baseline,4,100000,mid,training_like,45.85504981588332,0.5125,847.6999999999999
baseline,4,200000,mid,training_like,213.75766293153578,0.8875,490.8625
baseline,4,300000,mid,training_like,237.43748660747877,0.9374999999999999,363.9
baseline,4,400000,mid,training_like,237.83305435163663,0.95,271.225
baseline,4,500000,final,training_like,239.38326935109754,0.975,245.78750000000002
baseline,5,100000,mid,training_like,167.33031335104715,0.8999999999999999,623.4125
baseline,5,200000,mid,training_like,238.91508284167776,0.9750000000000001,300.875
baseline,5,300000,mid,training_like,244.75424100130425,0.9625,245.06250000000003
baseline,5,400000,mid,training_like,232.12840858751144,0.975,212.35
baseline,5,500000,final,training_like,235.7802082550131,0.95,233.90000000000003
baseline,6,100000,mid,training_like,-47.40603603717349,0.0625,976.375
baseline,6,200000,mid,training_like,241.85867622318452,0.9875,288.5625
baseline,6,300000,mid,training_like,246.59412096107368,0.9624999999999999,253.0
baseline,6,400000,mid,training_like,255.50719821622502,0.9875,214.4375
baseline,6,500000,final,training_like,255.06098069586275,0.9750000000000001,210.6875
baseline,7,100000,mid,training_like,-1.663692156185843,0.6,720.0875000000001
baseline,7,200000,mid,training_like,187.32270097872902,0.9,378.55
baseline,7,300000,mid,training_like,218.53932416727525,0.8,361.81249999999994
baseline,7,400000,mid,training_like,237.49487134525833,0.9375,255.70000000000002
baseline,7,500000,final,training_like,240.55216657534928,0.9375,251.125
baseline,8,100000,mid,training_like,177.199959362974,0.9625,412.1
baseline,8,200000,mid,training_like,212.5075248304189,0.95,260.475
baseline,8,300000,mid,training_like,221.27482165009303,0.9625,242.9125
baseline,8,400000,mid,training_like,235.38606141849488,0.9375,214.875
baseline,8,500000,final,training_like,226.92933967355322,0.9624999999999999,236.3375
baseline,9,100000,mid,training_like,203.51849484715325,0.8999999999999999,502.85
baseline,9,200000,mid,training_like,236.4834833425836,0.9624999999999999,267.57500000000005
baseline,9,300000,mid,training_like,240.99439953769658,1.0,197.36249999999998
baseline,9,400000,mid,training_like,234.0773566007141,0.975,204.8125
baseline,9,500000,final,training_like,250.3075896215638,0.9875,201.55
joint,0,100000,mid,training_like,-243.23237213562214,0.25,828.125
joint,0,200000,mid,training_like,-56.0718706270458,0.025,980.9625
joint,0,250000,mid,training_like,215.0048664447193,0.9875,428.7625
joint,0,350000,mid,training_like,228.69644098463982,0.975,444.90000000000003
joint,0,400000,mid,training_like,239.88651201627593,0.9624999999999999,366.80000000000007
joint,0,500000,final,training_like,241.3552127200197,0.8875000000000001,371.75
joint,1,100000,mid,training_like,-194.60265785071374,0.7625,545.2249999999999
joint,1,200000,mid,training_like,-33.87871653848988,0.1125,990.6875
joint,1,250000,mid,training_like,233.11689561718794,0.9125,384.8375
joint,1,350000,mid,training_like,243.92986825864114,0.9625,293.0375
joint,1,400000,mid,training_like,235.47743118077102,0.95,264.525
joint,1,500000,final,training_like,248.10484099963034,0.9624999999999999,257.5875
joint,2,100000,mid,training_like,-227.37861046207317,0.55,648.7375
joint,2,200000,mid,training_like,-64.89427836525547,0.0125,990.275
joint,2,250000,mid,training_like,207.05817529629493,0.9625,509.41249999999997
