curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,n_cases_used,expected_cases,coverage,is_valid,mean_return,mean_success_strict,mean_success_soft,mean_length
joint,2,4,100000,131072,mid,training_like,4,4,1.0,True,-180.8639984871155,0.0,0.0,785.75
joint,2,5,125000,163840,mid,training_like,4,4,1.0,True,-111.22657443663093,0.0,0.0,911.4250000000001
joint,2,6,150000,196608,mid,training_like,4,4,1.0,True,-63.547503136690466,0.0,0.0,1000.0
joint,2,7,175000,229376,mid,training_like,4,4,1.0,True,63.50234665190793,0.275,0.575,878.1750000000001
joint,2,8,200000,262144,mid,training_like,4,4,1.0,True,65.22803242601887,0.32499999999999996,0.5249999999999999,905.825
joint,2,9,225000,294912,mid,training_like,4,4,1.0,True,37.99102262196721,0.19999999999999998,0.375,957.3
joint,2,10,250000,327680,mid,training_like,4,4,1.0,True,176.89510066434744,0.55,0.85,609.2
joint,2,11,275000,360448,mid,training_like,4,4,1.0,True,192.50028672687912,0.6,0.7,527.0
joint,2,12,300000,393216,mid,training_like,4,4,1.0,True,202.4026258305932,0.8250000000000001,0.925,498.675
joint,2,13,325000,425984,mid,training_like,4,4,1.0,True,154.9911743104638,0.375,0.675,646.2249999999999
