curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,mean_return,mean_success,mean_length
baseline,5,11,275000,360448,mid,generalization_combined,-41.154294966748765,0.4,757.1833333333334
baseline,5,12,300000,393216,mid,generalization_combined,8.307500294968646,0.5666666666666667,677.45
baseline,5,13,325000,425984,mid,generalization_combined,66.95684307203271,0.75,687.4833333333333
baseline,5,14,350000,458752,mid,generalization_combined,122.53152453669307,0.8833333333333333,581.4166666666667
baseline,5,15,375000,491520,mid,generalization_combined,151.47848132351209,0.95,507.33333333333337
baseline,5,16,400000,524288,mid,generalization_combined,155.82171080473245,0.9666666666666667,449.8833333333333
baseline,5,17,425000,557056,mid,generalization_combined,175.96597643347488,0.9833333333333334,413.5333333333333
baseline,5,18,450000,589824,mid,generalization_combined,185.26335588134918,0.9166666666666666,402.3833333333333
baseline,5,19,475000,622592,mid,generalization_combined,186.47194596329268,0.9,397.9
baseline,5,20,500000,655360,final,generalization_combined,197.96421421532494,0.9066666666666667,393.0783333333334
baseline,6,1,25000,32768,mid,generalization_combined,-193.87653699675104,1.0,401.4333333333333
baseline,6,2,50000,65536,mid,generalization_combined,-217.40127818286356,0.8500000000000001,568.0
baseline,6,3,75000,98304,mid,generalization_combined,-199.0102361330325,0.4666666666666667,777.9666666666667
baseline,6,4,100000,131072,mid,generalization_combined,-175.81430858664595,0.3666666666666667,824.6333333333332
baseline,6,5,125000,163840,mid,generalization_combined,-144.73245076302248,0.23333333333333334,838.5833333333333
baseline,6,6,150000,196608,mid,generalization_combined,-124.69835823016112,0.13333333333333333,883.0
baseline,6,7,175000,229376,mid,generalization_combined,-122.09654130291783,0.25,790.8833333333333
baseline,6,8,200000,262144,mid,generalization_combined,-108.11218641774698,0.18333333333333332,850.7833333333333
baseline,6,9,225000,294912,mid,generalization_combined,-101.02311638840084,0.23333333333333334,840.9166666666666
baseline,6,10,250000,327680,mid,generalization_combined,-97.06975617659648,0.2,848.3
baseline,6,11,275000,360448,mid,generalization_combined,-69.6535027250864,0.21666666666666667,864.2666666666668
baseline,6,12,300000,393216,mid,generalization_combined,-63.17590248396634,0.21666666666666667,842.6500000000001
baseline,6,13,325000,425984,mid,generalization_combined,-6.3830726651468686,0.39999999999999997,796.7500000000001
baseline,6,14,350000,458752,mid,generalization_combined,47.767921596394025,0.55,674.2666666666667
baseline,6,15,375000,491520,mid,generalization_combined,52.484632658024765,0.6166666666666667,639.0666666666666
baseline,6,16,400000,524288,mid,generalization_combined,48.37903202555146,0.5333333333333333,667.6333333333334
baseline,6,17,425000,557056,mid,generalization_combined,48.47368793110789,0.5833333333333334,604.1
baseline,6,18,450000,589824,mid,generalization_combined,119.03020777021987,0.6333333333333333,524.5333333333333
baseline,6,19,475000,622592,mid,generalization_combined,121.14395065549849,0.6833333333333333,558.45
baseline,6,20,500000,655360,final,generalization_combined,116.6395079330043,0.7066666666666666,547.57
baseline,7,1,25000,32768,mid,generalization_combined,-68.55816162345049,1.0,108.23333333333335
baseline,7,2,50000,65536,mid,generalization_combined,-24.174141961804466,1.0,199.75000000000003
baseline,7,3,75000,98304,mid,generalization_combined,-160.2780110741747,0.9333333333333332,437.5666666666667
baseline,7,4,100000,131072,mid,generalization_combined,-153.75460730061192,0.3833333333333333,770.1666666666666
baseline,7,5,125000,163840,mid,generalization_combined,-182.39453494326068,0.6166666666666667,637.7333333333333
baseline,7,6,150000,196608,mid,generalization_combined,-213.83201229326932,0.8666666666666667,523.2666666666667
baseline,7,7,175000,229376,mid,generalization_combined,-167.60721608597194,0.5,746.5999999999999
baseline,7,8,200000,262144,mid,generalization_combined,-157.52023048640672,0.3666666666666667,811.5
baseline,7,9,225000,294912,mid,generalization_combined,-130.65335195073297,0.13333333333333333,915.4833333333333
baseline,7,10,250000,327680,mid,generalization_combined,-125.45170488115917,0.16666666666666669,892.8833333333334
baseline,7,11,275000,360448,mid,generalization_combined,-126.78785686102154,0.25,889.5666666666666
baseline,7,12,300000,393216,mid,generalization_combined,-133.2681792315811,0.3833333333333333,832.95
baseline,7,13,325000,425984,mid,generalization_combined,-85.33293791416392,0.41666666666666663,771.3666666666666
baseline,7,14,350000,458752,mid,generalization_combined,-92.31015112804192,0.31666666666666665,847.0166666666667
baseline,7,15,375000,491520,mid,generalization_combined,34.83300575565617,0.75,593.7833333333334
baseline,7,16,400000,524288,mid,generalization_combined,20.50479393891375,0.75,615.3499999999999
baseline,7,17,425000,557056,mid,generalization_combined,88.42513334517118,0.8833333333333333,432.4166666666667
baseline,7,18,450000,589824,mid,generalization_combined,113.2088223967859,0.8166666666666665,463.78333333333336
baseline,7,19,475000,622592,mid,generalization_combined,100.65072286987542,0.8166666666666667,472.4666666666667
baseline,7,20,500000,655360,final,generalization_combined,149.29590207390842,0.8450000000000001,470.57333333333327
baseline,8,1,25000,32768,mid,generalization_combined,-203.01389674326285,1.0,353.98333333333335
baseline,8,2,50000,65536,mid,generalization_combined,-155.3810795353532,0.9166666666666666,402.75
baseline,8,3,75000,98304,mid,generalization_combined,-206.07119624090944,0.9166666666666666,468.25
baseline,8,4,100000,131072,mid,generalization_combined,-178.6864920494976,0.7833333333333334,525.4333333333334
baseline,8,5,125000,163840,mid,generalization_combined,-169.59396736317356,0.7333333333333334,587.9666666666667
baseline,8,6,150000,196608,mid,generalization_combined,-156.6592559202099,0.6,658.5333333333333
baseline,8,7,175000,229376,mid,generalization_combined,-96.63356858313284,0.35,806.7166666666667
baseline,8,8,200000,262144,mid,generalization_combined,-64.27073493359556,0.5,735.1166666666667
baseline,8,9,225000,294912,mid,generalization_combined,-28.14494311902024,0.6333333333333333,662.0333333333333
baseline,8,10,250000,327680,mid,generalization_combined,62.247578571725356,0.8666666666666666,487.3666666666667
baseline,8,11,275000,360448,mid,generalization_combined,133.61512478052657,0.9,489.69999999999993
baseline,8,12,300000,393216,mid,generalization_combined,156.59828971750292,0.9333333333333332,440.3
baseline,8,13,325000,425984,mid,generalization_combined,115.94773035501717,0.9333333333333333,382.09999999999997
baseline,8,14,350000,458752,mid,generalization_combined,161.9630802867451,0.95,412.15
baseline,8,15,375000,491520,mid,generalization_combined,159.31469255998732,0.8833333333333333,439.71666666666664
baseline,8,16,400000,524288,mid,generalization_combined,173.04477378724647,0.8999999999999999,366.55
baseline,8,17,425000,557056,mid,generalization_combined,183.52822694559515,0.9833333333333334,300.6166666666667
baseline,8,18,450000,589824,mid,generalization_combined,186.71344054434667,0.95,330.4166666666667
baseline,8,19,475000,622592,mid,generalization_combined,178.71148258685758,0.9333333333333332,302.6166666666667
baseline,8,20,500000,655360,final,generalization_combined,192.5424850647417,0.9033333333333333,323.62333333333333
baseline,9,1,25000,32768,mid,generalization_combined,-77.0569284417222,1.0,123.56666666666666
baseline,9,2,50000,65536,mid,generalization_combined,-129.48947950483415,1.0,223.04999999999998
baseline,9,3,75000,98304,mid,generalization_combined,-67.78787754206013,1.0,266.3666666666667
baseline,9,4,100000,131072,mid,generalization_combined,0.6452323754039142,1.0,309.5333333333333
baseline,9,5,125000,163840,mid,generalization_combined,11.991421065373597,0.95,509.04999999999995
baseline,9,6,150000,196608,mid,generalization_combined,-42.57547312659283,0.5166666666666666,841.3500000000001
baseline,9,7,175000,229376,mid,generalization_combined,-87.05067973178328,0.15,927.6
baseline,9,8,200000,262144,mid,generalization_combined,-56.34745861195442,0.19999999999999998,881.1166666666666
baseline,9,9,225000,294912,mid,generalization_combined,-13.454926842374563,0.4,832.1666666666666
baseline,9,10,250000,327680,mid,generalization_combined,4.954008087816615,0.3666666666666667,840.7833333333333
baseline,9,11,275000,360448,mid,generalization_combined,76.44726841579808,0.8,620.8166666666666
baseline,9,12,300000,393216,mid,generalization_combined,138.37514467793935,0.9333333333333333,493.6166666666667
baseline,9,13,325000,425984,mid,generalization_combined,159.67491205332158,0.95,446.9333333333333
baseline,9,14,350000,458752,mid,generalization_combined,182.13481748123996,0.95,436.4166666666667
baseline,9,15,375000,491520,mid,generalization_combined,193.23283962253043,0.9,479.1333333333333
baseline,9,16,400000,524288,mid,generalization_combined,196.01580153214377,0.9333333333333333,442.0
baseline,9,17,425000,557056,mid,generalization_combined,201.7496879164164,0.9333333333333333,412.2166666666667
baseline,9,18,450000,589824,mid,generalization_combined,211.8338705014125,0.9,380.66666666666663
baseline,9,19,475000,622592,mid,generalization_combined,212.77058844870174,0.9666666666666667,319.5333333333333
baseline,9,20,500000,655360,final,generalization_combined,208.61817194042501,0.9450000000000001,299.11833333333334
joint,0,1,25000,32768,mid,generalization_combined,-341.29626379167405,0.9833333333333334,310.85
joint,0,2,50000,65536,mid,generalization_combined,-301.953031313681,0.6333333333333333,551.0
joint,0,3,75000,98304,mid,generalization_combined,-286.68309400476,0.65,626.7
joint,0,4,100000,131072,mid,generalization_combined,-234.75324828556046,0.18333333333333332,892.3833333333332
joint,0,5,125000,163840,mid,generalization_combined,-157.85649220891762,0.06666666666666668,944.4833333333333
joint,0,6,150000,196608,mid,generalization_combined,-102.79110089645948,0.09999999999999999,954.1666666666667
joint,0,7,175000,229376,mid,generalization_combined,3.55639229288592,0.3833333333333333,822.0333333333333
joint,0,8,200000,262144,mid,generalization_combined,29.733974867190124,0.5,770.8
joint,0,9,225000,294912,mid,generalization_combined,75.28917059556488,0.7166666666666666,610.1500000000001
joint,0,10,250000,327680,mid,generalization_combined,94.96957755522774,0.9333333333333333,392.8
joint,0,11,275000,360448,mid,generalization_combined,82.10652372439839,0.7833333333333332,504.18333333333334
joint,0,12,300000,393216,mid,generalization_combined,125.86111920819765,0.8666666666666667,474.04999999999995
joint,0,13,325000,425984,mid,generalization_combined,169.17249008844925,0.9333333333333333,425.1
joint,0,14,350000,458752,mid,generalization_combined,159.2959646865978,0.9333333333333333,415.93333333333334
joint,0,15,375000,491520,mid,generalization_combined,177.7232377269774,0.9166666666666666,400.78333333333336
joint,0,16,400000,524288,mid,generalization_combined,182.4780845099594,0.8333333333333334,394.56666666666666
joint,0,17,425000,557056,mid,generalization_combined,187.7897038597409,0.95,310.65
joint,0,18,450000,589824,mid,generalization_combined,195.10323639109686,0.9833333333333334,303.85
joint,0,19,475000,622592,mid,generalization_combined,189.65203378698087,0.9000000000000001,314.76666666666665
joint,0,20,500000,655360,final,generalization_combined,188.40796563077873,0.8866666666666667,357.19
joint,1,1,25000,32768,mid,generalization_combined,-65.716984820363,1.0,210.78333333333336
joint,1,2,50000,65536,mid,generalization_combined,-157.94080610955268,1.0,334.9166666666667
joint,1,3,75000,98304,mid,generalization_combined,-199.33185461972437,0.9333333333333332,457.2166666666667
joint,1,4,100000,131072,mid,generalization_combined,-190.4331272158773,0.6833333333333332,748.3000000000001
joint,1,5,125000,163840,mid,generalization_combined,-165.77580571892565,0.3,858.2166666666667
joint,1,6,150000,196608,mid,generalization_combined,-122.27384499175216,0.2,868.15
joint,1,7,175000,229376,mid,generalization_combined,-84.8094674464647,0.13333333333333333,937.2333333333333
joint,1,8,200000,262144,mid,generalization_combined,-30.23931751772753,0.19999999999999998,907.0333333333333
joint,1,9,225000,294912,mid,generalization_combined,70.49649570553336,0.7,730.0500000000001
joint,1,10,250000,327680,mid,generalization_combined,99.86296742505604,0.8166666666666667,563.3166666666666
joint,1,11,275000,360448,mid,generalization_combined,87.43963309541013,0.8666666666666667,523.1666666666667
joint,1,12,300000,393216,mid,generalization_combined,134.45731553530035,0.8333333333333333,549.7166666666667
joint,1,13,325000,425984,mid,generalization_combined,112.9634504305056,0.9333333333333332,497.54999999999995
joint,1,14,350000,458752,mid,generalization_combined,146.77836820539378,0.8666666666666667,441.8666666666667
joint,1,15,375000,491520,mid,generalization_combined,141.37839104541854,0.9666666666666667,378.1
joint,1,16,400000,524288,mid,generalization_combined,154.47534644496406,0.9166666666666666,397.45000000000005
joint,1,17,425000,557056,mid,generalization_combined,142.17234761506398,0.95,336.5
joint,1,18,450000,589824,mid,generalization_combined,140.1188252542381,0.9166666666666666,326.55
joint,1,19,475000,622592,mid,generalization_combined,176.30264484943908,0.9166666666666666,328.5
joint,1,20,500000,655360,final,generalization_combined,186.2763255462292,0.91,350.8766666666666
joint,2,1,25000,32768,mid,generalization_combined,-390.54346353756637,0.8666666666666666,467.15
joint,2,2,50000,65536,mid,generalization_combined,-270.0187762067409,0.8333333333333334,496.0
